z_0,z_1
47.2658,55.9121
47.2658,55.9588
47.2658,55.2245
47.2658,61.8548
55.9588,55.9121
55.9588,49.4672
55.9588,61.8548
69.7095,69.6481
69.7095,68.6507
69.7095,69.3587
69.7095,65.2569
69.7095,73.5804
1.75277,20.3041
1.75277,21.0827
76.8454,86.0506
76.8454,67.4835
76.8454,59.7671
21.0827,24.0582
59.7671,67.4835
60.493,49.5312
78.3017,83.9036
78.3017,84.3407
78.3017,62.1242
49.5312,61.2651
49.5312,59.5111
83.9036,84.3407
83.9036,78.4856
22.004,24.0582
76.0878,73.933
76.0878,86.7322
76.0878,74.8614
13.0421,3.54364
13.0421,26.3474
13.0421,12.8136
13.0421,24.5986
69.6481,69.3587
